# Abkürzungen, die Sprachmodelle falsch vorlesen, und wie man sie spricht.
# Eine pro Zeile: geschrieben<TAB>gesprochen. Groß-/Kleinschreibung zählt.
# Mehrdeutige (St., Fr., Min.) stehen bewusst nicht hier.
z.B.	zum Beispiel
z. B.	zum Beispiel
d.h.	das heißt
d. h.	das heißt
u.a.	unter anderem
u. a.	unter anderem
z.T.	zum Teil
z. T.	zum Teil
u.U.	unter Umständen
u. U.	unter Umständen
bzw.	beziehungsweise
ca.	circa
usw.	und so weiter
etc.	et cetera
evtl.	eventuell
ggf.	gegebenenfalls
inkl.	inklusive
zzgl.	zuzüglich
vgl.	vergleiche
sog.	sogenannte
Nr.	Nummer
Str.	Straße
Mio.	Millionen
Mrd.	Milliarden
Tsd.	Tausend
Dr.	Doktor
Prof.	Professor
Kapt.	Kapitän
Cptn.	Captain
Cptn	Captain
Capt.	Captain
Cmdr.	Commander
Cmdr	Commander
Lt.	Lieutenant
Adm.	Admiral
Blvd.	Boulevard
Blvd	Boulevard
