# Einheiten, nur direkt nach einer Zahl ("10 km"). geschrieben<TAB>für 1<TAB>für alle anderen Werte.
km/h	ein Kilometer pro Stunde	Kilometer pro Stunde
m/s	ein Meter pro Sekunde	Meter pro Sekunde
km	ein Kilometer	Kilometer
cm	ein Zentimeter	Zentimeter
mm	ein Millimeter	Millimeter
m	ein Meter	Meter
kg	ein Kilogramm	Kilogramm
g	ein Gramm	Gramm
t	eine Tonne	Tonnen
ml	ein Milliliter	Milliliter
l	ein Liter	Liter
°C	ein Grad Celsius	Grad Celsius
°F	ein Grad Fahrenheit	Grad Fahrenheit
°	ein Grad	Grad
h	eine Stunde	Stunden
Std.	eine Stunde	Stunden
min	eine Minute	Minuten
Min.	eine Minute	Minuten
ms	eine Millisekunde	Millisekunden
s	eine Sekunde	Sekunden
Sek.	eine Sekunde	Sekunden
GHz	ein Gigahertz	Gigahertz
MHz	ein Megahertz	Megahertz
kHz	ein Kilohertz	Kilohertz
Hz	ein Hertz	Hertz
TB	ein Terabyte	Terabyte
GB	ein Gigabyte	Gigabyte
MB	ein Megabyte	Megabyte
kB	ein Kilobyte	Kilobyte
kWh	eine Kilowattstunde	Kilowattstunden
kW	ein Kilowatt	Kilowatt
MW	ein Megawatt	Megawatt
W	ein Watt	Watt
€	ein Euro	Euro
$	ein Dollar	Dollar
