# Unidades, solo después de un número. escrito<TAB>para 1<TAB>para los demás valores.
km/h	un kilómetro por hora	kilómetros por hora
m/s	un metro por segundo	metros por segundo
km	un kilómetro	kilómetros
cm	un centímetro	centímetros
mm	un milímetro	milímetros
m	un metro	metros
kg	un kilogramo	kilogramos
g	un gramo	gramos
t	una tonelada	toneladas
ml	un mililitro	mililitros
l	un litro	litros
°C	un grado Celsius	grados Celsius
°	un grado	grados
h	una hora	horas
min	un minuto	minutos
ms	un milisegundo	milisegundos
s	un segundo	segundos
GHz	un gigahercio	gigahercios
Hz	un hercio	hercios
GB	un gigabyte	gigabytes
MB	un megabyte	megabytes
TB	un terabyte	terabytes
kW	un kilovatio	kilovatios
W	un vatio	vatios
€	un euro	euros
$	un dólar	dólares
