# Unità, solo dopo un numero. scritto<TAB>per 1<TAB>per gli altri valori.
km/h	un chilometro orario	chilometri orari
m/s	un metro al secondo	metri al secondo
km	un chilometro	chilometri
cm	un centimetro	centimetri
mm	un millimetro	millimetri
m	un metro	metri
kg	un chilogrammo	chilogrammi
g	un grammo	grammi
t	una tonnellata	tonnellate
ml	un millilitro	millilitri
l	un litro	litri
°C	un grado Celsius	gradi Celsius
°	un grado	gradi
h	un'ora	ore
min	un minuto	minuti
ms	un millisecondo	millisecondi
s	un secondo	secondi
GHz	un gigahertz	gigahertz
Hz	un hertz	hertz
GB	un gigabyte	gigabyte
MB	un megabyte	megabyte
TB	un terabyte	terabyte
kW	un chilowatt	chilowatt
W	un watt	watt
€	un euro	euro
$	un dollaro	dollari
