# Unidades, só depois de um número. escrito<TAB>para 1<TAB>para os outros valores.
km/h	um quilômetro por hora	quilômetros por hora
m/s	um metro por segundo	metros por segundo
km	um quilômetro	quilômetros
cm	um centímetro	centímetros
mm	um milímetro	milímetros
m	um metro	metros
kg	um quilograma	quilogramas
g	um grama	gramas
t	uma tonelada	toneladas
ml	um mililitro	mililitros
l	um litro	litros
°C	um grau Celsius	graus Celsius
°	um grau	graus
h	uma hora	horas
min	um minuto	minutos
ms	um milissegundo	milissegundos
s	um segundo	segundos
GHz	um gigahertz	gigahertz
Hz	um hertz	hertz
GB	um gigabyte	gigabytes
MB	um megabyte	megabytes
TB	um terabyte	terabytes
kW	um quilowatt	quilowatts
W	um watt	watts
€	um euro	euros
$	um dólar	dólares
